,trial,deck,counts,proportion
232,58,1,10,0.208
233,58,2,13,0.271
234,58,3,10,0.208
235,58,4,15,0.312
236,59,1,9,0.188
237,59,2,19,0.396
238,59,3,8,0.167
239,59,4,12,0.25
240,60,1,12,0.25
241,60,2,9,0.188
242,60,3,14,0.292
243,60,4,13,0.271
244,61,1,8,0.167
245,61,2,16,0.333
246,61,3,11,0.229
247,61,4,13,0.271
248,62,1,12,0.25
249,62,2,13,0.271
250,62,3,10,0.208
251,62,4,13,0.271
252,63,1,9,0.188
253,63,2,14,0.292
254,63,3,11,0.229
255,63,4,14,0.292
256,64,1,10,0.208
257,64,2,13,0.271
258,64,3,6,0.125
259,64,4,19,0.396
260,65,1,12,0.25
261,65,2,10,0.208
262,65,3,8,0.167
263,65,4,18,0.375
264,66,1,7,0.146
265,66,2,11,0.229
266,66,3,11,0.229
267,66,4,19,0.396
268,67,1,10,0.208
269,67,2,9,0.188
270,67,3,10,0.208
271,67,4,19,0.396
272,68,1,7,0.146
273,68,2,11,0.229
274,68,3,10,0.208
275,68,4,20,0.417
276,69,1,3,0.062
277,69,2,21,0.438
278,69,3,11,0.229
279,69,4,13,0.271
280,70,1,9,0.188
281,70,2,12,0.25
282,70,3,13,0.271
283,70,4,14,0.292
284,71,1,9,0.188
285,71,2,11,0.229
286,71,3,13,0.271
287,71,4,15,0.312
288,72,1,11,0.229
289,72,2,8,0.167
290,72,3,11,0.229
291,72,4,18,0.375
292,73,1,3,0.062
293,73,2,16,0.333
294,73,3,16,0.333
295,73,4,13,0.271
296,74,1,5,0.104
297,74,2,15,0.312
298,74,3,8,0.167
299,74,4,20,0.417
300,75,1,8,0.167
301,75,2,12,0.25
302,75,3,14,0.292
303,75,4,14,0.292
304,76,1,5,0.104
305,76,2,7,0.146
306,76,3,14,0.292
307,76,4,22,0.458
308,77,1,6,0.125
309,77,2,14,0.292
310,77,3,11,0.229
311,77,4,17,0.354
312,78,1,15,0.312
313,78,2,6,0.125
314,78,3,9,0.188
315,78,4,18,0.375
316,79,1,11,0.229
317,79,2,9,0.188
