,subject,deck,counts,trial,proportion
185,3,2,1176,1,0.196
186,3,3,2502,1,0.417
187,3,4,1166,1,0.194
188,4,1,1695,1,0.282
189,4,2,948,1,0.158
190,4,3,1706,1,0.284
191,4,4,1651,1,0.275
192,5,1,1948,1,0.325
193,5,2,209,1,0.035
194,5,3,1895,1,0.316
195,5,4,1948,1,0.325
196,6,1,2603,1,0.434
197,6,2,1107,1,0.184
198,6,3,1165,1,0.194
199,6,4,1125,1,0.188
200,7,1,805,1,0.134
201,7,2,1753,1,0.292
202,7,3,1718,1,0.286
203,7,4,1724,1,0.287
204,8,1,1903,1,0.317
205,8,2,99,1,0.016
206,8,3,2038,1,0.34
207,8,4,1960,1,0.327
208,9,1,1425,1,0.238
209,9,2,1430,1,0.238
210,9,3,1786,1,0.298
211,9,4,1359,1,0.226
212,10,1,1892,1,0.315
213,10,2,1854,1,0.309
214,10,3,432,1,0.072
215,10,4,1822,1,0.304
216,11,1,1649,1,0.275
217,11,2,1007,1,0.168
218,11,3,1699,1,0.283
219,11,4,1645,1,0.274
220,12,1,1083,1,0.18
221,12,2,2859,1,0.476
222,12,3,1041,1,0.174
223,12,4,1017,1,0.17
224,13,1,679,1,0.113
225,13,2,3954,1,0.659
226,13,3,707,1,0.118
227,13,4,660,1,0.11
228,14,1,3695,1,0.616
229,14,2,752,1,0.125
230,14,3,781,1,0.13
231,14,4,772,1,0.129
232,15,1,872,1,0.145
233,15,2,3399,1,0.566
234,15,3,875,1,0.146
235,15,4,854,1,0.142
236,16,1,2402,1,0.4
237,16,2,1178,1,0.196
238,16,3,1175,1,0.196
239,16,4,1245,1,0.208
240,17,1,1607,1,0.268
241,17,2,1593,1,0.266
242,17,3,1168,1,0.195
243,17,4,1632,1,0.272
244,18,1,1657,1,0.276
245,18,2,1636,1,0.273
246,18,3,1592,1,0.265
247,18,4,1115,1,0.186
248,19,1,2828,1,0.471
249,19,2,1052,1,0.175
250,19,3,1071,1,0.178
251,19,4,1049,1,0.175
252,20,1,1361,1,0.227
253,20,2,1450,1,0.242
254,20,3,1360,1,0.227
255,20,4,1829,1,0.305
256,21,1,1912,1,0.319
257,21,2,1957,1,0.326
258,21,3,280,1,0.047
259,21,4,1851,1,0.308
260,22,1,1007,1,0.168
261,22,2,1066,1,0.178
262,22,3,2913,1,0.486
263,22,4,1014,1,0.169
264,23,1,1906,1,0.318
265,23,2,1840,1,0.307
266,23,3,337,1,0.056
267,23,4,1917,1,0.32
268,24,1,1353,1,0.226
269,24,2,2031,1,0.338
270,24,3,1275,1,0.212
271,24,4,1341,1,0.224
272,25,1,1689,1,0.282
273,25,2,1757,1,0.293
274,25,3,812,1,0.135
275,25,4,1742,1,0.29
276,26,1,1289,1,0.215
277,26,2,2111,1,0.352
278,26,3,1308,1,0.218
279,26,4,1292,1,0.215
280,27,1,1130,1,0.188
281,27,2,2554,1,0.426
282,27,3,1124,1,0.187
283,27,4,1192,1,0.199
284,28,1,1539,1,0.256
285,28,2,1440,1,0.24
286,28,3,1500,1,0.25
287,28,4,1521,1,0.254
288,29,1,1473,1,0.246
289,29,2,1474,1,0.246
290,29,3,1522,1,0.254
291,29,4,1531,1,0.255
292,30,1,1362,1,0.227
293,30,2,1329,1,0.222
294,30,3,1917,1,0.32
295,30,4,1392,1,0.232
296,31,1,1153,1,0.192
297,31,2,1137,1,0.19
298,31,3,2560,1,0.427
299,31,4,1150,1,0.192
300,32,1,1044,1,0.174
301,32,2,1025,1,0.171
302,32,3,2866,1,0.478
303,32,4,1065,1,0.178
304,33,1,2913,1,0.486
305,33,2,973,1,0.162
306,33,3,1059,1,0.176
307,33,4,1055,1,0.176
308,34,1,1977,1,0.33
309,34,2,2007,1,0.334
310,34,3,90,1,0.015
311,34,4,1926,1,0.321
312,35,1,1961,1,0.327
313,35,2,1984,1,0.331
314,35,3,199,1,0.033
315,35,4,1856,1,0.309
316,36,1,1709,1,0.285
317,36,2,868,1,0.145
318,36,3,1687,1,0.281
319,36,4,1736,1,0.289
320,37,1,1143,1,0.19
321,37,2,2568,1,0.428
322,37,3,1119,1,0.186
323,37,4,1170,1,0.195
324,38,1,1383,1,0.23
325,38,2,1871,1,0.312
326,38,3,1386,1,0.231
327,38,4,1360,1,0.227
328,39,1,4151,1,0.692
329,39,2,606,1,0.101
330,39,3,626,1,0.104
331,39,4,617,1,0.103
332,40,1,4866,1,0.811
