,subject,deck,counts,trial,proportion
186,8,3,287,1,0.048
187,8,4,1877,1,0.313
188,9,1,1164,1,0.194
189,9,2,1168,1,0.195
190,9,3,2527,1,0.421
191,9,4,1141,1,0.19
192,10,1,1629,1,0.272
193,10,2,1561,1,0.26
194,10,3,1129,1,0.188
195,10,4,1681,1,0.28
196,11,1,1071,1,0.178
197,11,2,1615,1,0.269
198,11,3,1611,1,0.268
199,11,4,1703,1,0.284
200,12,1,2259,1,0.376
201,12,2,1250,1,0.208
202,12,3,1243,1,0.207
203,12,4,1248,1,0.208
204,13,1,717,1,0.12
205,13,2,778,1,0.13
206,13,3,3771,1,0.628
207,13,4,734,1,0.122
208,14,1,197,1,0.033
209,14,2,1965,1,0.328
210,14,3,1944,1,0.324
211,14,4,1894,1,0.316
212,15,1,1402,1,0.234
213,15,2,1870,1,0.312
214,15,3,1398,1,0.233
215,15,4,1330,1,0.222
216,16,1,1872,1,0.312
217,16,2,1891,1,0.315
218,16,3,406,1,0.068
219,16,4,1831,1,0.305
220,17,1,1221,1,0.204
221,17,2,1621,1,0.27
222,17,3,1568,1,0.261
223,17,4,1590,1,0.265
224,18,1,1995,1,0.332
225,18,2,1401,1,0.234
226,18,3,1310,1,0.218
227,18,4,1294,1,0.216
228,19,1,1894,1,0.316
229,19,2,348,1,0.058
230,19,3,1824,1,0.304
231,19,4,1934,1,0.322
232,20,1,3437,1,0.573
233,20,2,828,1,0.138
234,20,3,885,1,0.148
235,20,4,850,1,0.142
236,21,1,1894,1,0.316
237,21,2,1339,1,0.223
238,21,3,1355,1,0.226
239,21,4,1412,1,0.235
240,22,1,486,1,0.081
241,22,2,1780,1,0.297
242,22,3,1826,1,0.304
243,22,4,1908,1,0.318
244,23,1,1281,1,0.214
245,23,2,1264,1,0.211
246,23,3,2245,1,0.374
247,23,4,1210,1,0.202
248,24,1,919,1,0.153
249,24,2,1717,1,0.286
250,24,3,1630,1,0.272
251,24,4,1734,1,0.289
252,25,1,1659,1,0.276
253,25,2,1662,1,0.277
254,25,3,1001,1,0.167
255,25,4,1678,1,0.28
256,26,1,1964,1,0.327
257,26,2,242,1,0.04
258,26,3,1883,1,0.314
259,26,4,1911,1,0.318
260,27,1,1919,1,0.32
261,27,2,1825,1,0.304
262,27,3,380,1,0.063
263,27,4,1876,1,0.313
264,28,1,1479,1,0.246
265,28,2,1385,1,0.231
266,28,3,1705,1,0.284
267,28,4,1431,1,0.238
268,29,1,1158,1,0.193
269,29,2,2462,1,0.41
270,29,3,1203,1,0.2
271,29,4,1177,1,0.196
272,30,1,1499,1,0.25
273,30,2,1523,1,0.254
274,30,3,1473,1,0.246
275,30,4,1505,1,0.251
276,31,1,1432,1,0.239
277,31,2,1794,1,0.299
278,31,3,1356,1,0.226
279,31,4,1418,1,0.236
280,32,1,1327,1,0.221
281,32,2,1570,1,0.262
282,32,3,1520,1,0.253
283,32,4,1583,1,0.264
284,33,1,280,1,0.047
285,33,2,1892,1,0.315
286,33,3,1941,1,0.324
287,33,4,1887,1,0.314
288,34,1,1888,1,0.315
289,34,2,359,1,0.06
290,34,3,1906,1,0.318
291,34,4,1847,1,0.308
292,35,1,1473,1,0.246
293,35,2,1488,1,0.248
294,35,3,1531,1,0.255
295,35,4,1508,1,0.251
296,36,1,1265,1,0.211
297,36,2,2179,1,0.363
298,36,3,1276,1,0.213
299,36,4,1280,1,0.213
300,37,1,1171,1,0.195
301,37,2,1095,1,0.182
302,37,3,2526,1,0.421
303,37,4,1208,1,0.201
304,0,1,898,2,0.15
305,0,2,938,2,0.156
306,0,3,3187,2,0.531
307,0,4,977,2,0.163
308,1,1,671,2,0.112
309,1,2,3937,2,0.656
310,1,3,673,2,0.112
311,1,4,719,2,0.12
312,2,1,1769,2,0.295
313,2,2,1774,2,0.296
314,2,3,1799,2,0.3
315,2,4,658,2,0.11
316,3,1,1246,2,0.208
317,3,2,1708,2,0.285
318,3,3,1389,2,0.232
319,3,4,1657,2,0.276
320,4,1,1050,2,0.175
321,4,2,934,2,0.156
322,4,3,920,2,0.153
323,4,4,3096,2,0.516
324,5,1,1689,2,0.282
325,5,2,1513,2,0.252
326,5,3,1619,2,0.27
327,5,4,1179,2,0.196
328,6,1,1692,2,0.282
329,6,2,1803,2,0.3
330,6,3,786,2,0.131
331,6,4,1719,2,0.286
332,7,1,1123,2,0.187
333,7,2,1096,2,0.183
334,7,3,1125,2,0.188
335,7,4,2656,2,0.443
336,8,1,2399,2,0.4
337,8,2,2343,2,0.39
338,8,3,935,2,0.156
339,8,4,323,2,0.054
340,9,1,1037,2,0.173
341,9,2,985,2,0.164
342,9,3,2993,2,0.499
343,9,4,985,2,0.164
344,10,1,1739,2,0.29
345,10,2,1695,2,0.282
346,10,3,879,2,0.146
347,10,4,1687,2,0.281
348,11,1,1621,2,0.27
349,11,2,1654,2,0.276
350,11,3,980,2,0.163
351,11,4,1745,2,0.291
352,12,1,1664,2,0.277
353,12,2,2117,2,0.353
354,12,3,1101,2,0.184
355,12,4,1118,2,0.186
356,13,1,505,2,0.084
357,13,2,498,2,0.083
358,13,3,4461,2,0.744
359,13,4,536,2,0.089
360,14,1,965,2,0.161
361,14,2,2336,2,0.389
362,14,3,2447,2,0.408
363,14,4,252,2,0.042
364,15,1,1779,2,0.296
365,15,2,1630,2,0.272
366,15,3,1280,2,0.213
367,15,4,1311,2,0.218
368,16,1,490,2,0.082
369,16,2,2251,2,0.375
370,16,3,1010,2,0.168
371,16,4,2249,2,0.375
372,17,1,1463,2,0.244
373,17,2,1712,2,0.285
374,17,3,1192,2,0.199
375,17,4,1633,2,0.272
376,18,1,1666,2,0.278
377,18,2,1811,2,0.302
378,18,3,1302,2,0.217
379,18,4,1221,2,0.204
380,19,1,423,2,0.07
381,19,2,773,2,0.129
382,19,3,2360,2,0.393
383,19,4,2444,2,0.407
384,20,1,1173,2,0.196
385,20,2,3201,2,0.534
386,20,3,802,2,0.134
387,20,4,824,2,0.137
388,21,1,2207,2,0.368
389,21,2,1264,2,0.211
390,21,3,1276,2,0.213
391,21,4,1253,2,0.209
392,22,1,1078,2,0.18
393,22,2,553,2,0.092
394,22,3,2205,2,0.368
395,22,4,2164,2,0.361
396,23,1,1197,2,0.2
397,23,2,2088,2,0.348
398,23,3,1567,2,0.261
399,23,4,1148,2,0.191
400,24,1,1529,2,0.255
401,24,2,1816,2,0.303
402,24,3,1766,2,0.294
403,24,4,889,2,0.148
404,25,1,1676,2,0.279
405,25,2,1700,2,0.283
406,25,3,974,2,0.162
407,25,4,1650,2,0.275
408,26,1,2389,2,0.398
409,26,2,1007,2,0.168
410,26,3,273,2,0.046
411,26,4,2331,2,0.388
412,27,1,440,2,0.073
413,27,2,1985,2,0.331
414,27,3,1548,2,0.258
415,27,4,2027,2,0.338
416,28,1,1764,2,0.294
417,28,2,1376,2,0.229
418,28,3,1503,2,0.25
419,28,4,1357,2,0.226
420,29,1,1157,2,0.193
421,29,2,1463,2,0.244
422,29,3,1110,2,0.185
423,29,4,2270,2,0.378
424,30,1,1485,2,0.248
425,30,2,1572,2,0.262
426,30,3,1467,2,0.244
427,30,4,1476,2,0.246
428,31,1,1303,2,0.217
429,31,2,1589,2,0.265
430,31,3,1347,2,0.224
431,31,4,1761,2,0.294
432,32,1,1370,2,0.228
433,32,2,1505,2,0.251
434,32,3,1522,2,0.254
435,32,4,1603,2,0.267
436,33,1,1109,2,0.185
437,33,2,287,2,0.048
438,33,3,2406,2,0.401
439,33,4,2198,2,0.366
440,34,1,423,2,0.07
441,34,2,1198,2,0.2
442,34,3,2162,2,0.36
443,34,4,2217,2,0.37
444,35,1,1555,2,0.259
445,35,2,1500,2,0.25
446,35,3,1437,2,0.24
447,35,4,1508,2,0.251
448,36,1,1990,2,0.332
449,36,2,1639,2,0.273
450,36,3,1208,2,0.201
451,36,4,1163,2,0.194
452,37,1,944,2,0.157
453,37,2,925,2,0.154
454,37,3,3233,2,0.539
455,37,4,898,2,0.15
456,0,1,669,3,0.112
457,0,2,694,3,0.116
458,0,3,4003,3,0.667
459,0,4,634,3,0.106
460,1,1,669,3,0.112
461,1,2,4042,3,0.674
462,1,3,643,3,0.107
463,1,4,646,3,0.108
