,subject,deck,counts,trial,proportion
0,0,1,1505,0,0.251
1,0,2,1504,0,0.251
2,0,3,1441,0,0.24
3,0,4,1550,0,0.258
4,1,1,1509,0,0.252
5,1,2,1482,0,0.247
6,1,3,1546,0,0.258
7,1,4,1463,0,0.244
8,2,1,1545,0,0.258
9,2,2,1445,0,0.241
10,2,3,1481,0,0.247
11,2,4,1529,0,0.255
12,3,1,1462,0,0.244
13,3,2,1494,0,0.249
14,3,3,1512,0,0.252
15,3,4,1532,0,0.255
16,4,1,1525,0,0.254
17,4,2,1510,0,0.252
18,4,3,1488,0,0.248
19,4,4,1477,0,0.246
20,5,1,1498,0,0.25
21,5,2,1563,0,0.26
22,5,3,1487,0,0.248
23,5,4,1452,0,0.242
24,6,1,1463,0,0.244
25,6,2,1409,0,0.235
26,6,3,1513,0,0.252
27,6,4,1615,0,0.269
28,7,1,1470,0,0.245
29,7,2,1552,0,0.259
30,7,3,1526,0,0.254
31,7,4,1452,0,0.242
32,8,1,1459,0,0.243
33,8,2,1462,0,0.244
34,8,3,1559,0,0.26
35,8,4,1520,0,0.253
36,9,1,1431,0,0.238
37,9,2,1514,0,0.252
38,9,3,1558,0,0.26
39,9,4,1497,0,0.25
40,10,1,1548,0,0.258
41,10,2,1486,0,0.248
42,10,3,1506,0,0.251
43,10,4,1460,0,0.243
44,11,1,1499,0,0.25
45,11,2,1553,0,0.259
46,11,3,1452,0,0.242
47,11,4,1496,0,0.249
48,12,1,1416,0,0.236
49,12,2,1524,0,0.254
50,12,3,1590,0,0.265
51,12,4,1470,0,0.245
52,13,1,1465,0,0.244
53,13,2,1513,0,0.252
54,13,3,1523,0,0.254
55,13,4,1499,0,0.25
56,14,1,1484,0,0.247
57,14,2,1567,0,0.261
58,14,3,1498,0,0.25
59,14,4,1451,0,0.242
60,15,1,1476,0,0.246
61,15,2,1505,0,0.251
62,15,3,1484,0,0.247
63,15,4,1535,0,0.256
64,16,1,1470,0,0.245
65,16,2,1495,0,0.249
66,16,3,1531,0,0.255
67,16,4,1504,0,0.251
68,17,1,1489,0,0.248
69,17,2,1495,0,0.249
70,17,3,1500,0,0.25
71,17,4,1516,0,0.253
72,18,1,1570,0,0.262
73,18,2,1428,0,0.238
74,18,3,1518,0,0.253
75,18,4,1484,0,0.247
76,19,1,1525,0,0.254
77,19,2,1491,0,0.248
78,19,3,1514,0,0.252
79,19,4,1470,0,0.245
80,20,1,1522,0,0.254
81,20,2,1453,0,0.242
82,20,3,1517,0,0.253
83,20,4,1508,0,0.251
84,21,1,1535,0,0.256
85,21,2,1472,0,0.245
86,21,3,1462,0,0.244
87,21,4,1531,0,0.255
88,22,1,1506,0,0.251
89,22,2,1418,0,0.236
90,22,3,1554,0,0.259
91,22,4,1522,0,0.254
92,23,1,1476,0,0.246
93,23,2,1521,0,0.254
94,23,3,1503,0,0.25
95,23,4,1500,0,0.25
96,24,1,1569,0,0.262
97,24,2,1477,0,0.246
98,24,3,1489,0,0.248
99,24,4,1465,0,0.244
100,25,1,1580,0,0.263
101,25,2,1491,0,0.248
102,25,3,1471,0,0.245
103,25,4,1458,0,0.243
104,26,1,1502,0,0.25
105,26,2,1447,0,0.241
106,26,3,1482,0,0.247
107,26,4,1569,0,0.262
108,27,1,1517,0,0.253
109,27,2,1510,0,0.252
110,27,3,1545,0,0.258
111,27,4,1428,0,0.238
112,28,1,1524,0,0.254
113,28,2,1498,0,0.25
114,28,3,1484,0,0.247
115,28,4,1494,0,0.249
116,29,1,1487,0,0.248
117,29,2,1541,0,0.257
118,29,3,1453,0,0.242
119,29,4,1519,0,0.253
120,30,1,1496,0,0.249
121,30,2,1465,0,0.244
122,30,3,1506,0,0.251
123,30,4,1533,0,0.256
124,31,1,1506,0,0.251
125,31,2,1489,0,0.248
126,31,3,1463,0,0.244
127,31,4,1542,0,0.257
128,32,1,1484,0,0.247
129,32,2,1518,0,0.253
130,32,3,1543,0,0.257
131,32,4,1455,0,0.242
132,33,1,1491,0,0.248
133,33,2,1508,0,0.251
134,33,3,1517,0,0.253
135,33,4,1484,0,0.247
136,34,1,1524,0,0.254
137,34,2,1455,0,0.242
138,34,3,1513,0,0.252
139,34,4,1508,0,0.251
140,35,1,1491,0,0.248
141,35,2,1456,0,0.243
142,35,3,1505,0,0.251
143,35,4,1548,0,0.258
144,36,1,1536,0,0.256
145,36,2,1498,0,0.25
146,36,3,1457,0,0.243
147,36,4,1509,0,0.252
148,37,1,1508,0,0.251
149,37,2,1499,0,0.25
150,37,3,1472,0,0.245
151,37,4,1521,0,0.254
152,0,1,1267,1,0.211
153,0,2,1398,1,0.233
154,0,3,2003,1,0.334
155,0,4,1332,1,0.222
156,1,1,967,1,0.161
157,1,2,3087,1,0.514
158,1,3,958,1,0.16
159,1,4,988,1,0.165
160,2,1,1628,1,0.271
161,2,2,1493,1,0.249
162,2,3,1453,1,0.242
163,2,4,1426,1,0.238
164,3,1,1171,1,0.195
165,3,2,1214,1,0.202
166,3,3,2361,1,0.394
167,3,4,1254,1,0.209
168,4,1,1902,1,0.317
169,4,2,1380,1,0.23
170,4,3,1323,1,0.22
171,4,4,1395,1,0.232
172,5,1,1289,1,0.215
173,5,2,2194,1,0.366
174,5,3,1223,1,0.204
175,5,4,1294,1,0.216
176,6,1,1267,1,0.211
177,6,2,1233,1,0.206
178,6,3,2230,1,0.372
179,6,4,1270,1,0.212
180,7,1,1254,1,0.209
181,7,2,1276,1,0.213
182,7,3,1293,1,0.216
183,7,4,2177,1,0.363
184,8,1,1502,1,0.25
185,8,2,1540,1,0.257
186,8,3,1399,1,0.233
187,8,4,1559,1,0.26
188,9,1,1170,1,0.195
189,9,2,1182,1,0.197
190,9,3,2501,1,0.417
191,9,4,1147,1,0.191
192,10,1,1181,1,0.197
193,10,2,1122,1,0.187
194,10,3,2522,1,0.42
195,10,4,1175,1,0.196
196,11,1,1314,1,0.219
197,11,2,1581,1,0.264
198,11,3,1523,1,0.254
199,11,4,1582,1,0.264
200,12,1,1369,1,0.228
201,12,2,1564,1,0.261
202,12,3,1500,1,0.25
203,12,4,1567,1,0.261
204,13,1,1246,1,0.208
205,13,2,1220,1,0.203
206,13,3,2277,1,0.38
207,13,4,1257,1,0.21
208,14,1,1577,1,0.263
209,14,2,1496,1,0.249
210,14,3,1430,1,0.238
211,14,4,1497,1,0.25
212,15,1,1325,1,0.221
213,15,2,1871,1,0.312
214,15,3,1380,1,0.23
215,15,4,1424,1,0.237
216,16,1,1441,1,0.24
217,16,2,1429,1,0.238
218,16,3,1608,1,0.268
219,16,4,1522,1,0.254
220,17,1,1870,1,0.312
221,17,2,1377,1,0.23
222,17,3,1374,1,0.229
223,17,4,1379,1,0.23
224,18,1,1593,1,0.266
225,18,2,1454,1,0.242
226,18,3,1511,1,0.252
227,18,4,1442,1,0.24
228,19,1,1424,1,0.237
229,19,2,1683,1,0.28
230,19,3,1384,1,0.231
231,19,4,1509,1,0.252
232,20,1,1263,1,0.21
233,20,2,1585,1,0.264
234,20,3,1589,1,0.265
235,20,4,1563,1,0.26
236,21,1,2077,1,0.346
237,21,2,1367,1,0.228
238,21,3,1291,1,0.215
239,21,4,1265,1,0.211
240,22,1,1446,1,0.241
241,22,2,1465,1,0.244
242,22,3,1501,1,0.25
243,22,4,1588,1,0.265
244,23,1,1585,1,0.264
245,23,2,1492,1,0.249
246,23,3,1393,1,0.232
247,23,4,1530,1,0.255
248,24,1,1229,1,0.205
249,24,2,1584,1,0.264
250,24,3,1583,1,0.264
251,24,4,1604,1,0.267
252,25,1,1346,1,0.224
253,25,2,1288,1,0.215
254,25,3,2119,1,0.353
255,25,4,1247,1,0.208
256,26,1,1459,1,0.243
257,26,2,1633,1,0.272
258,26,3,1451,1,0.242
259,26,4,1457,1,0.243
260,27,1,1520,1,0.253
261,27,2,1505,1,0.251
262,27,3,1489,1,0.248
263,27,4,1486,1,0.248
264,28,1,1423,1,0.237
265,28,2,1489,1,0.248
266,28,3,1608,1,0.268
267,28,4,1480,1,0.247
268,29,1,1405,1,0.234
269,29,2,1921,1,0.32
270,29,3,1371,1,0.228
271,29,4,1303,1,0.217
272,30,1,1523,1,0.254
273,30,2,1464,1,0.244
274,30,3,1466,1,0.244
275,30,4,1547,1,0.258
276,31,1,1330,1,0.222
277,31,2,1893,1,0.316
278,31,3,1321,1,0.22
279,31,4,1456,1,0.243
280,32,1,1751,1,0.292
281,32,2,1415,1,0.236
282,32,3,1416,1,0.236
283,32,4,1418,1,0.236
284,33,1,1418,1,0.236
285,33,2,1570,1,0.262
286,33,3,1560,1,0.26
287,33,4,1452,1,0.242
288,34,1,1653,1,0.276
289,34,2,1016,1,0.169
290,34,3,1698,1,0.283
291,34,4,1633,1,0.272
292,35,1,1789,1,0.298
293,35,2,1392,1,0.232
294,35,3,1412,1,0.235
295,35,4,1407,1,0.234
296,36,1,1438,1,0.24
297,36,2,1572,1,0.262
298,36,3,1484,1,0.247
299,36,4,1506,1,0.251
300,37,1,1042,1,0.174
301,37,2,1021,1,0.17
302,37,3,2954,1,0.492
303,37,4,983,1,0.164
304,0,1,1365,2,0.228
305,0,2,1340,2,0.223
306,0,3,1970,2,0.328
307,0,4,1325,2,0.221
308,1,1,765,2,0.128
309,1,2,3635,2,0.606
310,1,3,776,2,0.129
311,1,4,824,2,0.137
312,2,1,1889,2,0.315
313,2,2,1922,2,0.32
314,2,3,1949,2,0.325
315,2,4,240,2,0.04
316,3,1,2319,2,0.386
317,3,2,1259,2,0.21
318,3,3,1207,2,0.201
319,3,4,1215,2,0.202
320,4,1,619,2,0.103
321,4,2,664,2,0.111
322,4,3,692,2,0.115
323,4,4,4025,2,0.671
324,5,1,1239,2,0.206
325,5,2,1321,2,0.22
326,5,3,1287,2,0.214
327,5,4,2153,2,0.359
328,6,1,1284,2,0.214
329,6,2,1354,2,0.226
330,6,3,2093,2,0.349
331,6,4,1269,2,0.212
332,7,1,217,2,0.036
333,7,2,211,2,0.035
334,7,3,216,2,0.036
335,7,4,5356,2,0.893
336,8,1,1567,2,0.261
337,8,2,1543,2,0.257
338,8,3,1520,2,0.253
339,8,4,1370,2,0.228
340,9,1,1253,2,0.209
341,9,2,1265,2,0.211
342,9,3,2235,2,0.372
343,9,4,1247,2,0.208
344,10,1,1229,2,0.205
345,10,2,1188,2,0.198
346,10,3,2374,2,0.396
347,10,4,1209,2,0.202
348,11,1,2016,2,0.336
349,11,2,1902,2,0.317
350,11,3,175,2,0.029
351,11,4,1907,2,0.318
352,12,1,1539,2,0.256
353,12,2,1283,2,0.214
354,12,3,1569,2,0.262
355,12,4,1609,2,0.268
356,13,1,1270,2,0.212
357,13,2,1334,2,0.222
358,13,3,2113,2,0.352
359,13,4,1283,2,0.214
360,14,1,1975,2,0.329
361,14,2,1971,2,0.328
362,14,3,1977,2,0.33
363,14,4,77,2,0.013
364,15,1,1779,2,0.296
365,15,2,1447,2,0.241
366,15,3,1398,2,0.233
367,15,4,1376,2,0.229
368,16,1,1618,2,0.27
369,16,2,1472,2,0.245
370,16,3,1440,2,0.24
371,16,4,1470,2,0.245
372,17,1,891,2,0.148
373,17,2,972,2,0.162
374,17,3,3172,2,0.529
375,17,4,965,2,0.161
376,18,1,1487,2,0.248
377,18,2,1532,2,0.255
378,18,3,1474,2,0.246
379,18,4,1507,2,0.251
380,19,1,1636,2,0.273
381,19,2,1388,2,0.231
382,19,3,1470,2,0.245
383,19,4,1506,2,0.251
384,20,1,1520,2,0.253
385,20,2,1302,2,0.217
386,20,3,1591,2,0.265
387,20,4,1587,2,0.264
388,21,1,1938,2,0.323
389,21,2,1352,2,0.225
390,21,3,1398,2,0.233
391,21,4,1312,2,0.219
392,22,1,1487,2,0.248
393,22,2,1383,2,0.23
394,22,3,1587,2,0.264
395,22,4,1543,2,0.257
396,23,1,1516,2,0.253
397,23,2,1337,2,0.223
398,23,3,1535,2,0.256
399,23,4,1612,2,0.269
400,24,1,1901,2,0.317
401,24,2,1874,2,0.312
402,24,3,1856,2,0.309
403,24,4,369,2,0.062
404,25,1,1316,2,0.219
405,25,2,1310,2,0.218
406,25,3,1981,2,0.33
407,25,4,1393,2,0.232
408,26,1,1986,2,0.331
409,26,2,1958,2,0.326
410,26,3,98,2,0.016
411,26,4,1958,2,0.326
412,27,1,1469,2,0.245
413,27,2,1569,2,0.262
414,27,3,1493,2,0.249
415,27,4,1469,2,0.245
416,28,1,1565,2,0.261
417,28,2,1477,2,0.246
418,28,3,1481,2,0.247
419,28,4,1477,2,0.246
420,29,1,1727,2,0.288
421,29,2,1760,2,0.293
422,29,3,1763,2,0.294
423,29,4,750,2,0.125
424,30,1,1887,2,0.314
425,30,2,1902,2,0.317
426,30,3,358,2,0.06
427,30,4,1853,2,0.309
428,31,1,1899,2,0.316
429,31,2,1946,2,0.324
430,31,3,1892,2,0.315
431,31,4,263,2,0.044
432,32,1,1610,2,0.268
433,32,2,1480,2,0.247
434,32,3,1475,2,0.246
435,32,4,1435,2,0.239
436,33,1,1538,2,0.256
437,33,2,1405,2,0.234
438,33,3,1556,2,0.259
439,33,4,1501,2,0.25
440,34,1,947,2,0.158
441,34,2,1669,2,0.278
442,34,3,1723,2,0.287
443,34,4,1661,2,0.277
444,35,1,1497,2,0.25
445,35,2,1427,2,0.238
446,35,3,1602,2,0.267
447,35,4,1474,2,0.246
448,36,1,1617,2,0.27
449,36,2,1498,2,0.25
450,36,3,1409,2,0.235
451,36,4,1476,2,0.246
452,37,1,1041,2,0.174
