,subject,deck,counts,trial,proportion
0,0,1,1522,0,0.254
1,0,2,1523,0,0.254
2,0,3,1469,0,0.245
3,0,4,1486,0,0.248
4,1,1,1591,0,0.265
5,1,2,1458,0,0.243
6,1,3,1456,0,0.243
7,1,4,1495,0,0.249
8,2,1,1469,0,0.245
9,2,2,1502,0,0.25
10,2,3,1582,0,0.264
11,2,4,1447,0,0.241
12,3,1,1506,0,0.251
13,3,2,1483,0,0.247
14,3,3,1473,0,0.246
15,3,4,1538,0,0.256
16,4,1,1502,0,0.25
17,4,2,1506,0,0.251
18,4,3,1502,0,0.25
19,4,4,1490,0,0.248
20,5,1,1472,0,0.245
21,5,2,1463,0,0.244
22,5,3,1535,0,0.256
23,5,4,1530,0,0.255
24,6,1,1555,0,0.259
25,6,2,1499,0,0.25
26,6,3,1450,0,0.242
27,6,4,1496,0,0.249
28,7,1,1536,0,0.256
29,7,2,1512,0,0.252
30,7,3,1493,0,0.249
31,7,4,1459,0,0.243
32,8,1,1501,0,0.25
33,8,2,1550,0,0.258
34,8,3,1428,0,0.238
35,8,4,1521,0,0.254
36,9,1,1546,0,0.258
37,9,2,1497,0,0.25
38,9,3,1503,0,0.25
39,9,4,1454,0,0.242
40,10,1,1550,0,0.258
41,10,2,1513,0,0.252
42,10,3,1487,0,0.248
43,10,4,1450,0,0.242
44,11,1,1520,0,0.253
45,11,2,1499,0,0.25
46,11,3,1489,0,0.248
47,11,4,1492,0,0.249
48,12,1,1488,0,0.248
49,12,2,1486,0,0.248
50,12,3,1484,0,0.247
51,12,4,1542,0,0.257
52,13,1,1496,0,0.249
53,13,2,1546,0,0.258
54,13,3,1457,0,0.243
55,13,4,1501,0,0.25
56,14,1,1463,0,0.244
57,14,2,1524,0,0.254
58,14,3,1454,0,0.242
59,14,4,1559,0,0.26
60,15,1,1487,0,0.248
61,15,2,1526,0,0.254
62,15,3,1469,0,0.245
63,15,4,1518,0,0.253
64,16,1,1486,0,0.248
65,16,2,1521,0,0.254
66,16,3,1488,0,0.248
67,16,4,1505,0,0.251
68,17,1,1468,0,0.245
69,17,2,1490,0,0.248
70,17,3,1488,0,0.248
71,17,4,1554,0,0.259
72,18,1,1526,0,0.254
73,18,2,1434,0,0.239
74,18,3,1526,0,0.254
75,18,4,1514,0,0.252
76,19,1,1522,0,0.254
77,19,2,1512,0,0.252
78,19,3,1422,0,0.237
79,19,4,1544,0,0.257
80,20,1,1549,0,0.258
81,20,2,1486,0,0.248
82,20,3,1517,0,0.253
83,20,4,1448,0,0.241
84,21,1,1461,0,0.244
85,21,2,1520,0,0.253
86,21,3,1530,0,0.255
87,21,4,1489,0,0.248
88,22,1,1454,0,0.242
89,22,2,1466,0,0.244
90,22,3,1551,0,0.258
91,22,4,1529,0,0.255
92,23,1,1526,0,0.254
93,23,2,1476,0,0.246
94,23,3,1511,0,0.252
95,23,4,1487,0,0.248
96,24,1,1487,0,0.248
97,24,2,1483,0,0.247
98,24,3,1483,0,0.247
99,24,4,1547,0,0.258
100,25,1,1480,0,0.247
101,25,2,1457,0,0.243
102,25,3,1536,0,0.256
103,25,4,1527,0,0.254
104,26,1,1485,0,0.248
105,26,2,1544,0,0.257
106,26,3,1511,0,0.252
107,26,4,1460,0,0.243
108,27,1,1491,0,0.248
109,27,2,1478,0,0.246
110,27,3,1535,0,0.256
111,27,4,1496,0,0.249
112,28,1,1498,0,0.25
113,28,2,1470,0,0.245
114,28,3,1490,0,0.248
115,28,4,1542,0,0.257
116,29,1,1486,0,0.248
117,29,2,1496,0,0.249
118,29,3,1494,0,0.249
119,29,4,1524,0,0.254
120,30,1,1427,0,0.238
121,30,2,1508,0,0.251
122,30,3,1582,0,0.264
123,30,4,1483,0,0.247
124,31,1,1532,0,0.255
125,31,2,1489,0,0.248
126,31,3,1498,0,0.25
127,31,4,1481,0,0.247
128,32,1,1511,0,0.252
129,32,2,1477,0,0.246
130,32,3,1502,0,0.25
131,32,4,1510,0,0.252
132,33,1,1520,0,0.253
133,33,2,1526,0,0.254
134,33,3,1518,0,0.253
135,33,4,1436,0,0.239
136,34,1,1505,0,0.251
137,34,2,1533,0,0.256
138,34,3,1448,0,0.241
139,34,4,1514,0,0.252
140,35,1,1486,0,0.248
141,35,2,1449,0,0.242
142,35,3,1549,0,0.258
143,35,4,1516,0,0.253
144,36,1,1500,0,0.25
145,36,2,1517,0,0.253
146,36,3,1536,0,0.256
147,36,4,1447,0,0.241
148,37,1,1480,0,0.247
149,37,2,1505,0,0.251
150,37,3,1481,0,0.247
151,37,4,1534,0,0.256
152,38,1,1523,0,0.254
153,38,2,1450,0,0.242
154,38,3,1512,0,0.252
155,38,4,1515,0,0.252
156,39,1,1484,0,0.247
157,39,2,1489,0,0.248
158,39,3,1548,0,0.258
159,39,4,1479,0,0.246
160,40,1,1552,0,0.259
161,40,2,1515,0,0.252
162,40,3,1481,0,0.247
163,40,4,1452,0,0.242
164,41,1,1508,0,0.251
165,41,2,1414,0,0.236
166,41,3,1538,0,0.256
167,41,4,1540,0,0.257
168,42,1,1505,0,0.251
169,42,2,1465,0,0.244
170,42,3,1525,0,0.254
171,42,4,1505,0,0.251
172,0,1,1008,1,0.168
173,0,2,967,1,0.161
174,0,3,3075,1,0.512
175,0,4,950,1,0.158
176,1,1,1628,1,0.271
177,1,2,1108,1,0.185
178,1,3,1631,1,0.272
179,1,4,1633,1,0.272
180,2,1,1010,1,0.168
181,2,2,3093,1,0.516
182,2,3,913,1,0.152
183,2,4,984,1,0.164
184,3,1,1581,1,0.264
185,3,2,1624,1,0.271
186,3,3,1231,1,0.205
187,3,4,1564,1,0.261
188,4,1,1074,1,0.179
189,4,2,2749,1,0.458
190,4,3,1075,1,0.179
191,4,4,1102,1,0.184
192,5,1,1832,1,0.305
193,5,2,502,1,0.084
194,5,3,1795,1,0.299
195,5,4,1871,1,0.312
196,6,1,2150,1,0.358
197,6,2,1252,1,0.209
198,6,3,1319,1,0.22
199,6,4,1279,1,0.213
200,7,1,1426,1,0.238
201,7,2,1518,1,0.253
202,7,3,1552,1,0.259
203,7,4,1504,1,0.251
204,8,1,1804,1,0.301
205,8,2,555,1,0.092
206,8,3,1820,1,0.303
207,8,4,1821,1,0.304
208,9,1,1079,1,0.18
209,9,2,1048,1,0.175
210,9,3,2709,1,0.452
211,9,4,1164,1,0.194
212,10,1,1871,1,0.312
213,10,2,1829,1,0.305
214,10,3,426,1,0.071
215,10,4,1874,1,0.312
216,11,1,1568,1,0.261
217,11,2,1322,1,0.22
218,11,3,1565,1,0.261
219,11,4,1545,1,0.258
220,12,1,1112,1,0.185
221,12,2,2663,1,0.444
222,12,3,1098,1,0.183
223,12,4,1127,1,0.188
224,13,1,741,1,0.124
225,13,2,3649,1,0.608
226,13,3,797,1,0.133
227,13,4,813,1,0.136
228,14,1,2884,1,0.481
229,14,2,1011,1,0.168
230,14,3,1077,1,0.18
231,14,4,1028,1,0.171
232,15,1,810,1,0.135
233,15,2,3563,1,0.594
234,15,3,862,1,0.144
235,15,4,765,1,0.128
236,16,1,2406,1,0.401
237,16,2,1200,1,0.2
238,16,3,1216,1,0.203
239,16,4,1178,1,0.196
240,17,1,1208,1,0.201
241,17,2,1295,1,0.216
242,17,3,2276,1,0.379
243,17,4,1221,1,0.204
244,18,1,1371,1,0.228
245,18,2,1451,1,0.242
246,18,3,1451,1,0.242
247,18,4,1727,1,0.288
248,19,1,2967,1,0.494
249,19,2,1021,1,0.17
250,19,3,1047,1,0.174
251,19,4,965,1,0.161
252,20,1,1094,1,0.182
253,20,2,1110,1,0.185
254,20,3,1113,1,0.186
255,20,4,2683,1,0.447
256,21,1,1763,1,0.294
257,21,2,1694,1,0.282
258,21,3,771,1,0.128
259,21,4,1772,1,0.295
260,22,1,909,1,0.152
261,22,2,927,1,0.154
262,22,3,3301,1,0.55
263,22,4,863,1,0.144
264,23,1,1668,1,0.278
265,23,2,1660,1,0.277
266,23,3,983,1,0.164
267,23,4,1689,1,0.282
268,24,1,1076,1,0.179
269,24,2,2837,1,0.473
270,24,3,1006,1,0.168
271,24,4,1081,1,0.18
272,25,1,1695,1,0.282
273,25,2,1687,1,0.281
274,25,3,963,1,0.16
275,25,4,1655,1,0.276
276,26,1,1075,1,0.179
277,26,2,2799,1,0.466
278,26,3,1083,1,0.18
279,26,4,1043,1,0.174
280,27,1,858,1,0.143
281,27,2,3354,1,0.559
282,27,3,913,1,0.152
283,27,4,875,1,0.146
284,28,1,2693,1,0.449
285,28,2,1081,1,0.18
286,28,3,1120,1,0.187
287,28,4,1106,1,0.184
288,29,1,1773,1,0.296
289,29,2,1439,1,0.24
290,29,3,1399,1,0.233
291,29,4,1389,1,0.232
292,30,1,1754,1,0.292
293,30,2,1624,1,0.271
294,30,3,987,1,0.164
295,30,4,1635,1,0.272
296,31,1,1836,1,0.306
297,31,2,1748,1,0.291
298,31,3,642,1,0.107
299,31,4,1774,1,0.296
300,32,1,1089,1,0.182
301,32,2,1059,1,0.176
302,32,3,2755,1,0.459
303,32,4,1097,1,0.183
304,33,1,2494,1,0.416
305,33,2,1176,1,0.196
306,33,3,1195,1,0.199
307,33,4,1135,1,0.189
308,34,1,1791,1,0.298
309,34,2,1698,1,0.283
310,34,3,790,1,0.132
311,34,4,1721,1,0.287
312,35,1,1842,1,0.307
313,35,2,1914,1,0.319
314,35,3,349,1,0.058
315,35,4,1895,1,0.316
316,36,1,1596,1,0.266
317,36,2,1116,1,0.186
318,36,3,1654,1,0.276
319,36,4,1634,1,0.272
320,37,1,1352,1,0.225
321,37,2,2075,1,0.346
322,37,3,1286,1,0.214
323,37,4,1287,1,0.214
324,38,1,1131,1,0.188
325,38,2,2787,1,0.464
326,38,3,1061,1,0.177
327,38,4,1021,1,0.17
328,39,1,2804,1,0.467
329,39,2,1067,1,0.178
330,39,3,1079,1,0.18
331,39,4,1050,1,0.175
332,40,1,2404,1,0.401
333,40,2,1180,1,0.197
334,40,3,1210,1,0.202
335,40,4,1206,1,0.201
336,41,1,727,1,0.121
337,41,2,3703,1,0.617
338,41,3,764,1,0.127
339,41,4,806,1,0.134
340,42,1,3140,1,0.523
341,42,2,944,1,0.157
342,42,3,976,1,0.163
343,42,4,940,1,0.157
344,0,1,936,2,0.156
345,0,2,927,2,0.154
346,0,3,3205,2,0.534
347,0,4,932,2,0.155
348,1,1,1351,2,0.225
349,1,2,1313,2,0.219
350,1,3,2029,2,0.338
351,1,4,1307,2,0.218
352,2,1,1029,2,0.172
353,2,2,1053,2,0.176
354,2,3,2939,2,0.49
355,2,4,979,2,0.163
356,3,1,1609,2,0.268
357,3,2,1530,2,0.255
358,3,3,1629,2,0.272
359,3,4,1232,2,0.205
360,4,1,1611,2,0.268
361,4,2,1523,2,0.254
362,4,3,1398,2,0.233
363,4,4,1468,2,0.245
364,5,1,1765,2,0.294
365,5,2,1846,2,0.308
366,5,3,579,2,0.096
367,5,4,1810,2,0.302
368,6,1,1319,2,0.22
369,6,2,2216,2,0.369
370,6,3,1248,2,0.208
371,6,4,1217,2,0.203
372,7,1,1550,2,0.258
373,7,2,1503,2,0.25
374,7,3,1495,2,0.249
375,7,4,1452,2,0.242
376,8,1,1923,2,0.32
377,8,2,1888,2,0.315
378,8,3,1920,2,0.32
379,8,4,269,2,0.045
380,9,1,1098,2,0.183
381,9,2,1080,2,0.18
382,9,3,2743,2,0.457
383,9,4,1079,2,0.18
384,10,1,1788,2,0.298
385,10,2,429,2,0.072
386,10,3,1893,2,0.316
387,10,4,1890,2,0.315
388,11,1,1384,2,0.231
389,11,2,1533,2,0.256
390,11,3,1560,2,0.26
391,11,4,1523,2,0.254
392,12,1,740,2,0.123
393,12,2,3753,2,0.626
394,12,3,766,2,0.128
395,12,4,741,2,0.124
396,13,1,628,2,0.105
397,13,2,4113,2,0.686
398,13,3,632,2,0.105
399,13,4,627,2,0.104
400,14,1,1003,2,0.167
401,14,2,2896,2,0.483
402,14,3,1034,2,0.172
403,14,4,1067,2,0.178
404,15,1,600,2,0.1
405,15,2,4142,2,0.69
406,15,3,633,2,0.106
407,15,4,625,2,0.104
408,16,1,1124,2,0.187
409,16,2,2430,2,0.405
410,16,3,1229,2,0.205
411,16,4,1217,2,0.203
412,17,1,1248,2,0.208
413,17,2,2289,2,0.382
414,17,3,1223,2,0.204
415,17,4,1240,2,0.207
416,18,1,1732,2,0.289
417,18,2,1790,2,0.298
418,18,3,1751,2,0.292
419,18,4,727,2,0.121
420,19,1,864,2,0.144
421,19,2,906,2,0.151
422,19,3,916,2,0.153
423,19,4,3314,2,0.552
424,20,1,1106,2,0.184
425,20,2,2671,2,0.445
426,20,3,1134,2,0.189
427,20,4,1089,2,0.182
428,21,1,1736,2,0.289
429,21,2,763,2,0.127
430,21,3,1752,2,0.292
