,subject,deck,counts,trial,proportion
185,46,2,1517,0,0.253
186,46,3,1447,0,0.241
187,46,4,1547,0,0.258
188,47,1,1493,0,0.249
189,47,2,1521,0,0.254
190,47,3,1497,0,0.25
191,47,4,1489,0,0.248
192,0,1,1265,1,0.211
193,0,2,1290,1,0.215
194,0,3,2129,1,0.355
195,0,4,1316,1,0.219
196,1,1,1133,1,0.189
197,1,2,1666,1,0.278
198,1,3,1579,1,0.263
199,1,4,1622,1,0.27
200,2,1,1303,1,0.217
201,2,2,2172,1,0.362
202,2,3,1289,1,0.215
203,2,4,1236,1,0.206
204,3,1,864,1,0.144
205,3,2,1766,1,0.294
206,3,3,1722,1,0.287
207,3,4,1648,1,0.275
208,4,1,1190,1,0.198
209,4,2,1147,1,0.191
210,4,3,2489,1,0.415
211,4,4,1174,1,0.196
212,5,1,1045,1,0.174
213,5,2,2823,1,0.47
214,5,3,1059,1,0.176
215,5,4,1073,1,0.179
216,6,1,1781,1,0.297
217,6,2,1396,1,0.233
218,6,3,1430,1,0.238
219,6,4,1393,1,0.232
220,7,1,1291,1,0.215
221,7,2,1237,1,0.206
222,7,3,1237,1,0.206
223,7,4,2235,1,0.372
224,8,1,1375,1,0.229
225,8,2,1932,1,0.322
226,8,3,1376,1,0.229
227,8,4,1317,1,0.22
228,9,1,1206,1,0.201
229,9,2,2416,1,0.403
230,9,3,1193,1,0.199
231,9,4,1185,1,0.198
232,10,1,1589,1,0.265
233,10,2,1274,1,0.212
234,10,3,1583,1,0.264
235,10,4,1554,1,0.259
236,11,1,2955,1,0.492
237,11,2,1024,1,0.171
238,11,3,1030,1,0.172
239,11,4,991,1,0.165
240,12,1,1392,1,0.232
241,12,2,1378,1,0.23
242,12,3,1908,1,0.318
243,12,4,1322,1,0.22
244,13,1,2109,1,0.352
245,13,2,1259,1,0.21
246,13,3,1317,1,0.22
247,13,4,1315,1,0.219
248,14,1,999,1,0.166
249,14,2,3107,1,0.518
250,14,3,917,1,0.153
251,14,4,977,1,0.163
252,15,1,1670,1,0.278
253,15,2,1700,1,0.283
254,15,3,872,1,0.145
255,15,4,1758,1,0.293
256,16,1,1600,1,0.267
257,16,2,1125,1,0.188
258,16,3,1624,1,0.271
259,16,4,1651,1,0.275
260,17,1,1285,1,0.214
261,17,2,1335,1,0.222
262,17,3,2039,1,0.34
263,17,4,1341,1,0.224
264,18,1,1805,1,0.301
265,18,2,1816,1,0.303
266,18,3,554,1,0.092
267,18,4,1825,1,0.304
268,19,1,3176,1,0.529
269,19,2,912,1,0.152
270,19,3,963,1,0.16
271,19,4,949,1,0.158
272,20,1,1011,1,0.168
273,20,2,1079,1,0.18
274,20,3,1064,1,0.177
275,20,4,2846,1,0.474
276,21,1,615,1,0.102
277,21,2,1830,1,0.305
278,21,3,1724,1,0.287
279,21,4,1831,1,0.305
280,22,1,1373,1,0.229
281,22,2,1483,1,0.247
282,22,3,1741,1,0.29
283,22,4,1403,1,0.234
284,23,1,1001,1,0.167
285,23,2,2977,1,0.496
286,23,3,1022,1,0.17
287,23,4,1000,1,0.167
288,24,1,2883,1,0.48
289,24,2,1072,1,0.179
290,24,3,1020,1,0.17
291,24,4,1025,1,0.171
292,25,1,1135,1,0.189
293,25,2,1157,1,0.193
294,25,3,2621,1,0.437
295,25,4,1087,1,0.181
296,26,1,1231,1,0.205
297,26,2,2273,1,0.379
298,26,3,1253,1,0.209
299,26,4,1243,1,0.207
300,27,1,1141,1,0.19
301,27,2,2521,1,0.42
302,27,3,1123,1,0.187
303,27,4,1215,1,0.202
304,28,1,1625,1,0.271
305,28,2,1150,1,0.192
306,28,3,1640,1,0.273
307,28,4,1585,1,0.264
308,29,1,2048,1,0.341
309,29,2,1303,1,0.217
310,29,3,1317,1,0.22
311,29,4,1332,1,0.222
312,30,1,1262,1,0.21
313,30,2,1294,1,0.216
314,30,3,2168,1,0.361
315,30,4,1276,1,0.213
316,31,1,1311,1,0.218
317,31,2,2168,1,0.361
