Inference for Stan model: vpp_delta_model_60c7af9a1ecdac517a7dd47303feaff8.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
lambda_r[6]    -0.14    0.01   0.72  -1.75  -0.53  -0.11   0.28   1.27   3624    1.0
lambda_r[7]    -0.12    0.01   0.88  -1.86  -0.68  -0.12   0.41   1.65   6000    1.0
lambda_r[8]    -0.01    0.02   0.94  -1.93  -0.63 7.2e-3    0.6   1.78   3553    1.0
lambda_r[9]    -0.14    0.02   0.85  -1.95  -0.68  -0.07   0.41   1.45   2837    1.0
lambda_r[10]   -0.04    0.01   0.87   -1.8  -0.58-2.9e-3   0.51   1.76   6000    1.0
lambda_r[11]    -1.3    0.02   0.66  -2.68  -1.73  -1.27  -0.85  -0.14   1335    1.0
lambda_r[12]    0.28    0.01   0.94   -1.7  -0.34   0.33   0.92    2.0   3947    1.0
lambda_r[13]    0.04    0.01   0.88  -1.83  -0.47   0.05   0.57   1.81   6000    1.0
lambda_r[14]   -0.63    0.01   0.68  -2.09  -1.03  -0.56  -0.18   0.59   3488    1.0
lambda_r[15]   -0.52    0.01   0.77   -2.2  -0.99  -0.48  -0.02   0.92   4095    1.0
lambda_r[16]   -0.56    0.01    0.8  -2.22  -1.07  -0.54  -0.06   1.05   5409    1.0
lambda_r[17]    0.92    0.02   0.78  -0.86   0.46   0.92    1.4   2.43   1227    1.0
lambda_r[18]    0.79    0.01   0.71  -0.84    0.4   0.77   1.21   2.21   2276    1.0
lambda_r[19]    0.09    0.02   0.94  -1.88  -0.47   0.11   0.69   1.97   3767    1.0
lambda_r[20]    0.46    0.02   0.99  -1.63  -0.17   0.55   1.14   2.26   3629    1.0
lambda_r[21]    1.15    0.01   0.56   0.19   0.75   1.09   1.46   2.46   2696    1.0
lambda_r[22]   -0.62    0.01   0.79  -2.26  -1.11  -0.59  -0.12   0.96   6000    1.0
lambda_r[23]   -0.07    0.01   0.83  -1.83  -0.53  -0.07   0.44   1.62   3865    1.0
lambda_r[24]    0.59    0.01   0.51   -0.2   0.24   0.53   0.86   1.82   1903    1.0
lambda_r[25]   -0.35    0.01   0.77  -1.98   -0.8  -0.32   0.11    1.2   3365    1.0
lambda_r[26]    0.38    0.01    0.6  -0.63 3.8e-3   0.29   0.68    1.8   2028    1.0
lambda_r[27]    0.08    0.02    0.9  -1.75  -0.46   0.05   0.66   1.89   3033    1.0
lambda_r[28]   -0.84    0.01    0.7  -2.34  -1.29   -0.8  -0.36   0.41   3910    1.0
lambda_r[29]   -0.38    0.01   0.79  -2.03  -0.87  -0.35   0.14   1.15   3526    1.0
lambda_r[30]   -0.13    0.02   0.76  -1.81  -0.54  -0.08   0.34   1.36   2558    1.0
lambda_r[31]    0.06    0.01   0.82  -1.74   -0.4   0.13   0.56   1.61   3246    1.0
lambda_r[32]   -0.24    0.02   0.77  -1.93  -0.73  -0.15   0.29   1.09   2171    1.0
lambda_r[33]    1.64    0.01    0.6   0.58   1.21   1.59    2.0   2.95   2154    1.0
lambda_r[34]    -1.0    0.01    0.6  -2.39  -1.35  -0.93  -0.57  -0.04   3510    1.0
lambda_r[35]   -0.38    0.01   0.78  -2.05  -0.84  -0.32    0.1   1.12   3515    1.0
lambda_r[36]    0.05    0.01    0.9  -1.86  -0.52   0.09   0.63   1.76   6000    1.0
lambda_r[37]   -0.36    0.01   0.83  -2.02  -0.89  -0.36   0.13   1.33   4364    1.0
phi_r[0]       -0.99    0.01   0.74  -2.52  -1.45  -0.96  -0.51   0.41   4459    1.0
phi_r[1]       -0.03    0.01   0.65  -1.28  -0.44  -0.07   0.34   1.35   2998    1.0
phi_r[2]        0.84    0.02   0.56  -0.32   0.49   0.85    1.2    1.9    948    1.0
phi_r[3]       -0.23    0.01    0.7  -1.52  -0.72  -0.25   0.24   1.16   3942    1.0
phi_r[4]       -1.09    0.02   0.72  -2.51  -1.54  -1.08  -0.62    0.3    906    1.0
phi_r[5]       -0.72    0.01   0.78  -2.22  -1.24  -0.72  -0.22   0.82   2869    1.0
phi_r[6]       -0.05    0.01   0.83  -1.77  -0.59  -0.03    0.5   1.51   3636    1.0
phi_r[7]        -1.0     0.1   1.01   -2.6   -1.6  -1.08  -0.58   2.26     99   1.03
phi_r[8]       -0.11    0.01   0.71  -1.56  -0.54   -0.1   0.35   1.32   3150    1.0
phi_r[9]        0.02    0.01   0.67  -1.39   -0.4   0.05   0.46   1.27   3860    1.0
phi_r[10]      -0.49    0.01   0.75  -2.01  -0.98  -0.47   0.03   0.95   3186    1.0
phi_r[11]        1.1    0.03   0.64  -0.29   0.75   1.12   1.49   2.31    546   1.01
phi_r[12]       0.61    0.02    0.9  -1.34   0.05   0.67   1.23   2.19   2243    1.0
phi_r[13]      -0.98    0.02   0.75  -2.48  -1.44  -0.96  -0.49   0.52   1345    1.0
phi_r[14]      -0.36    0.01   0.78  -1.97  -0.85  -0.32   0.17   1.08   3688    1.0
phi_r[15]       0.43    0.02   0.89  -1.32  -0.13   0.43    1.0   2.18   2098    1.0
phi_r[16]       -1.0    0.01   0.79  -2.64   -1.5  -0.97  -0.46   0.47   6000    1.0
phi_r[17]       0.22    0.02   0.68  -1.22  -0.19   0.22   0.64   1.57   1679    1.0
phi_r[18]       0.38    0.02   0.91  -1.49  -0.21   0.43   1.03   2.01   1334    1.0
phi_r[19]      -0.38    0.01   0.69   -1.8   -0.8  -0.36   0.09   0.91   4092    1.0
phi_r[20]       0.21    0.01   0.65  -1.15   -0.2   0.23   0.64   1.43   2162    1.0
phi_r[21]       0.86    0.02   0.55  -0.27   0.51   0.86   1.21   1.94    876   1.01
phi_r[22]      -0.89    0.02    0.8  -2.53  -1.41  -0.87  -0.36   0.66   1741    1.0
phi_r[23]       0.41    0.01    0.7  -1.01 6.5e-3   0.42   0.85   1.77   2794    1.0
phi_r[24]       0.64    0.01   0.68  -0.74   0.18   0.66   1.11   1.98   2703    1.0
phi_r[25]      -0.42    0.01   0.77  -2.01   -0.9   -0.4   0.08   1.02   4417    1.0
phi_r[26]       0.41    0.02   0.87  -1.29  -0.17   0.44   1.04    2.0   1440    1.0
phi_r[27]       0.32    0.03   0.77  -1.03  -0.17   0.25   0.75   2.07    837    1.0
phi_r[28]       0.53    0.01   0.62  -0.65   0.15   0.51    0.9   1.83   2487    1.0
phi_r[29]       0.76    0.01   0.61  -0.42   0.37   0.74   1.14   1.99   2882    1.0
phi_r[30]      -0.04    0.02   0.82  -1.62  -0.56  -0.07   0.45    1.7   2676    1.0
phi_r[31]      -0.85    0.02   0.81  -2.41  -1.37  -0.85  -0.34   0.75   1451    1.0
phi_r[32]       1.26    0.01   0.58   0.11   0.89   1.24   1.62   2.45   1672    1.0
phi_r[33]       0.21    0.01   0.48  -0.75  -0.07   0.21   0.51   1.15   1492    1.0
phi_r[34]       0.89    0.01   0.59  -0.22   0.52   0.86   1.26   2.08   1642    1.0
phi_r[35]      -0.66    0.01   0.76  -2.23  -1.13  -0.63  -0.16   0.79   4339    1.0
phi_r[36]       0.17    0.01   0.65  -1.27  -0.19    0.2   0.57   1.37   2177    1.0
phi_r[37]      -0.89    0.01   0.75  -2.44  -1.36  -0.87  -0.39   0.58   3359    1.0
k_r[0]         -0.54  9.6e-3   0.58  -1.82  -0.89  -0.49  -0.15   0.45   3603    1.0
k_r[1]         -1.07  9.1e-3    0.7  -2.57  -1.52  -1.04  -0.59   0.23   6000    1.0
k_r[2]         -1.01  8.3e-3   0.64  -2.39  -1.41  -0.96  -0.56   0.14   6000    1.0
k_r[3]          0.17    0.02   0.92  -1.83   -0.4   0.29   0.83   1.71   2860    1.0
k_r[4]         -1.76  8.3e-3   0.64   -3.1  -2.16  -1.73  -1.32  -0.62   6000    1.0
k_r[5]         -0.18    0.01   0.65  -1.62  -0.56  -0.13   0.25   0.98   3696    1.0
k_r[6]         -0.55  9.9e-3   0.76  -2.14  -1.06  -0.52  -0.02   0.89   6000    1.0
k_r[7]          1.02    0.04   0.68  -0.73   0.69    1.1   1.45   2.19    373    1.0
k_r[8]          0.34  8.7e-3   0.44  -0.54   0.07   0.35   0.61    1.2   2559    1.0
k_r[9]          -0.2    0.01   0.74  -1.93  -0.62  -0.14    0.3   1.11   3897    1.0
k_r[10]         0.84    0.01   0.57  -0.42   0.52   0.88    1.2   1.87   3220    1.0
k_r[11]         0.48    0.03   1.19  -1.81  -0.38   0.48   1.34   2.72   1263    1.0
k_r[12]          0.5    0.02   0.92  -1.57  -0.06   0.63   1.16   2.02   2466    1.0
k_r[13]        -0.25    0.01   0.52   -1.4  -0.54  -0.19   0.11   0.64   2162    1.0
k_r[14]         0.02  8.7e-3   0.41  -0.81  -0.23   0.03   0.29   0.79   2197    1.0
k_r[15]         0.75    0.02   0.94  -1.39   0.18    0.9   1.41   2.29   2614    1.0
k_r[16]         0.37  9.2e-3   0.49  -0.64   0.07   0.39   0.69   1.32   2825    1.0
k_r[17]         0.56    0.01    0.8   -1.1   0.08   0.62    1.1    2.0   4548    1.0
k_r[18]         1.34    0.03   1.21  -1.45    0.6   1.64   2.19   3.17   1220    1.0
k_r[19]         0.81  7.8e-3   0.44 2.7e-4   0.52   0.79   1.08   1.75   3147    1.0
k_r[20]        -0.92    0.02   0.67  -2.42  -1.32  -0.85  -0.46   0.21   1640    1.0
