Inference for Stan model: vpp_delta_model_60c7af9a1ecdac517a7dd47303feaff8.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
lambda_r[1]    -0.19    0.01    0.9  -1.96  -0.79  -0.18    0.4   1.58   6000    1.0
lambda_r[2]      0.1    0.01   1.02  -1.94  -0.61   0.13   0.81   2.05   6000    1.0
lambda_r[3]     0.16    0.01   1.04  -1.88  -0.55   0.21   0.89    2.1   6000    1.0
lambda_r[4]     -0.1    0.01   0.97  -2.03  -0.73  -0.09   0.55   1.84   6000    1.0
lambda_r[5]     -0.3    0.01   0.88  -2.07  -0.86  -0.27   0.26   1.47   6000    1.0
lambda_r[6]    -0.08    0.01   0.96  -1.95  -0.75  -0.05   0.58   1.77   6000    1.0
lambda_r[7]     -0.3    0.01   0.86  -2.02  -0.86  -0.29   0.25   1.46   6000    1.0
lambda_r[8]    -0.17    0.01   0.89  -2.02  -0.75  -0.16   0.41   1.59   6000    1.0
lambda_r[9]     0.02    0.01   1.01  -1.97  -0.67   0.04   0.71   1.94   6000    1.0
lambda_r[10]   -0.34    0.01   0.85  -2.09  -0.85  -0.31   0.19   1.35   6000    1.0
lambda_r[11]    -0.3    0.01   0.87  -2.05  -0.85  -0.26   0.26   1.45   6000    1.0
lambda_r[12]   -0.23    0.01   0.92  -2.08  -0.82  -0.22   0.35   1.63   6000    1.0
lambda_r[13]    0.57    0.05   1.15  -1.74  -0.25   0.67   1.43   2.54    552   1.01
lambda_r[14]    0.62    0.05    1.1  -1.64  -0.16   0.77   1.42   2.52    505   1.01
lambda_r[15]   -0.18    0.01   0.92  -2.01  -0.79  -0.18   0.42   1.67   6000    1.0
lambda_r[16]   -0.15    0.01   0.94  -2.03  -0.79  -0.13   0.49   1.66   6000    1.0
lambda_r[17]   -0.31    0.01   0.87  -2.05  -0.89  -0.29   0.25   1.41   6000    1.0
lambda_r[18]   -0.06    0.01   0.95  -1.94  -0.72  -0.04    0.6   1.72   6000    1.0
lambda_r[19]   -0.05    0.01   0.96  -1.94  -0.69  -0.05   0.59   1.85   6000    1.0
lambda_r[20]   -0.37    0.01   0.87  -2.13  -0.94  -0.35   0.16   1.41   6000    1.0
lambda_r[21] -8.3e-3    0.01   0.98  -1.95  -0.67   0.02   0.65    1.9   6000    1.0
lambda_r[22]    -0.1    0.01   0.98   -2.0  -0.75  -0.11   0.55   1.83   6000    1.0
lambda_r[23]    0.24    0.03   1.05  -1.86  -0.51   0.27   0.99   2.21    957    1.0
lambda_r[24]    0.37    0.01   1.07  -1.82  -0.39   0.51   1.13   2.26   6000    1.0
lambda_r[25]   -0.15    0.01   0.93  -1.94  -0.77  -0.14   0.47   1.72   6000    1.0
lambda_r[26]   -0.44    0.01   0.82  -2.12  -0.96  -0.42   0.05   1.26   6000    1.0
lambda_r[27]   -0.41    0.01   0.86  -2.14  -0.95  -0.38   0.11   1.35   6000    1.0
lambda_r[28]   -0.47    0.01   0.83  -2.15   -1.0  -0.44   0.04   1.25   6000    1.0
lambda_r[29]   -0.03    0.01   0.94   -1.9  -0.64  -0.02   0.61   1.77   6000    1.0
lambda_r[30]   -0.14    0.01   0.94  -1.98  -0.77  -0.12   0.48   1.67   6000    1.0
lambda_r[31]   -0.02    0.01   0.95  -1.93  -0.66 4.8e-3   0.62   1.84   6000    1.0
lambda_r[32]    0.05    0.01   0.92  -1.85  -0.54   0.11   0.63   1.88   6000    1.0
lambda_r[33]   -0.14    0.01   0.94   -2.0  -0.78  -0.13   0.49   1.73   6000    1.0
lambda_r[34]   -0.37    0.01   0.89  -2.17  -0.92  -0.35   0.17   1.43   6000    1.0
lambda_r[35]   -0.03    0.01   0.99  -1.95  -0.71  -0.01   0.64   1.85   6000    1.0
lambda_r[36]   -0.02    0.01   0.96  -1.95  -0.63   0.01   0.61   1.79   6000    1.0
lambda_r[37]    0.13    0.01    1.0  -1.87  -0.56   0.16   0.83   2.03   6000    1.0
lambda_r[38]   -0.25    0.01   0.89  -2.07  -0.84  -0.22   0.34   1.48   6000    1.0
lambda_r[39]    0.76    0.07   1.15  -1.65  -0.05   0.94   1.62   2.72    312    1.0
lambda_r[40]   -0.02    0.01   0.94  -1.97  -0.59   0.02   0.56   1.82   6000    1.0
lambda_r[41]   -0.22    0.01    0.9  -2.02   -0.8  -0.22   0.36   1.55   6000    1.0
lambda_r[42]   -0.47    0.01   0.83  -2.14  -0.97  -0.44 6.8e-3   1.22   6000    1.0
phi_r[0]        1.29    0.02   0.73  -0.34   0.91   1.34   1.74   2.65   1943    1.0
phi_r[1]       -0.24    0.01   0.68  -1.77  -0.59  -0.17   0.18   0.98   3454    1.0
phi_r[2]       -0.72    0.02   0.83  -2.19  -1.25  -0.79  -0.31   1.15   2414    1.0
