Inference for Stan model: wsls_6_model_303fcf1696c87ab69f6dd8fb0117ba09.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                 mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
ls_init_r[4]    -0.03  8.3e-3   0.35   -0.7  -0.25  -0.03   0.18   0.72   1770    1.0
ls_init_r[5]     0.69    0.01   0.43   -0.2   0.43    0.7   0.96   1.53    943    1.0
ls_init_r[6]    -1.85  9.1e-3   0.43  -2.79  -2.12  -1.82  -1.56  -1.08   2266    1.0
ls_init_r[7]    -0.07    0.02   0.48   -1.1  -0.37  -0.03   0.27   0.73    740    1.0
ls_init_r[8]     1.25    0.01    0.5   0.38   0.91   1.19   1.54   2.38   1903    1.0
ls_init_r[9]    -0.36    0.01   0.35  -1.06  -0.58  -0.37  -0.15   0.34   1080    1.0
ls_init_r[10]    0.97    0.02   0.65  -0.13   0.48   0.91    1.4   2.39   1489    1.0
ls_init_r[11]    1.14    0.01   0.58   0.15   0.73    1.1    1.5   2.44   2754    1.0
ls_init_r[12]   -1.27  9.0e-3   0.38  -2.11  -1.51  -1.24   -1.0   -0.6   1799    1.0
ls_init_r[13]   -1.48  9.6e-3   0.38  -2.29  -1.73  -1.47  -1.22  -0.78   1574    1.0
ls_init_r[14]   -0.43    0.02   0.72  -1.62  -0.93  -0.51  -0.03   1.25    997    1.0
ls_init_r[15]   -1.51    0.01   0.41  -2.41  -1.76  -1.47  -1.22  -0.79   1072    1.0
ls_init_r[16]    0.37  9.9e-3   0.48  -0.41   0.04   0.31   0.64   1.46   2351    1.0
ls_init_r[17]    0.68    0.01   0.54  -0.21   0.31   0.62   0.99   1.93   1479    1.0
ls_init_r[18]    0.74    0.01   0.59  -0.25   0.33   0.68   1.08   2.14   1652    1.0
ls_init_r[19]   -1.05  8.3e-3   0.35  -1.76  -1.29  -1.04  -0.81  -0.38   1824    1.0
ls_init_r[20]    0.24    0.01   0.48  -0.57  -0.09    0.2   0.51   1.28   1263    1.0
ls_init_r[21]    0.57    0.01   0.41   -0.2    0.3   0.55   0.82   1.41   1119    1.0
ls_init_r[22]   -0.81  7.9e-3   0.34  -1.48  -1.04  -0.81  -0.58  -0.12   1842    1.0
