Inference for Stan model: wsls_6_model_303fcf1696c87ab69f6dd8fb0117ba09.
3 chains, each with iter=3000; warmup=1000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                 mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
ls_init_r[9]    -0.56  9.8e-3   0.41  -1.22   -0.8  -0.59  -0.38   0.43   1784    1.0
ls_init_r[10]    0.68  9.7e-3   0.67  -0.37   0.19   0.59   1.08   2.19   4721    1.0
ls_init_r[11]    0.91    0.01   0.64  -0.15   0.45   0.84   1.29   2.34   4003    1.0
ls_init_r[12]    0.57  9.4e-3   0.73  -0.64   0.04   0.49   1.05   2.12   6000    1.0
ls_init_r[13]   -1.98  9.1e-3   0.52  -3.13   -2.3  -1.93   -1.6  -1.11   3280    1.0
ls_init_r[14]    0.97  9.1e-3   0.61  -0.02   0.53    0.9   1.33   2.38   4535    1.0
ls_init_r[15]   -0.09    0.01   0.54  -0.83  -0.43  -0.19   0.13   1.39   2702    1.0
ls_init_r[16]    0.73    0.01   0.62  -0.26   0.28   0.63   1.11   2.18   3660    1.0
ls_init_r[17]   -0.99  9.3e-3   0.44   -2.0  -1.23  -0.94   -0.7  -0.27   2245    1.0
ls_init_r[18]     1.0    0.01   0.63  -0.04   0.54   0.92   1.38    2.4   3715    1.0
ls_init_r[19]    0.91  9.8e-3   0.62   -0.1   0.45   0.84   1.29   2.32   4071    1.0
ls_init_r[20]    -0.1    0.02   0.82  -1.32  -0.71  -0.27   0.41   1.78   2310    1.0
ls_init_r[21]   -0.36  9.7e-3    0.4   -1.1  -0.58  -0.38  -0.16   0.45   1755    1.0
ls_init_r[22]    0.89    0.01   0.63  -0.11   0.44   0.81   1.28   2.35   3836    1.0
ls_init_r[23]    0.92  8.1e-3   0.63   -0.1   0.47   0.85   1.31   2.33   6000    1.0
ls_init_r[24]    0.46  9.6e-3   0.65  -0.47  -0.01   0.33   0.84   2.01   4592    1.0
ls_init_r[25]   -0.26    0.01   0.49  -0.96  -0.55  -0.34  -0.11   1.13   2010    1.0
ls_init_r[26]    0.94  9.0e-3   0.63  -0.07   0.49   0.86   1.31   2.37   4826    1.0
ls_init_r[27]    0.63  9.7e-3   0.61  -0.31    0.2   0.52   0.96   2.05   3956    1.0
