Inference for Stan model: wsls_r_model_f1486bb6abe54d2253b4515ef3604cc9.
3 chains, each with iter=7000; warmup=5000; thin=1; 
post-warmup draws per chain=2000, total post-warmup draws=6000.

                 mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
alpha_r[36]      -1.1    0.44   0.76  -1.92  -1.76   -1.1  -0.72   0.92      3   1.34
alpha_r[37]      0.35    0.51   0.73  -0.66  -0.16   0.02   1.23   1.52      2   5.26
alpha_r[38]     -0.24    0.61   0.86   -1.4  -0.78  -0.72   0.34   1.79      2   1.63
alpha_r[39]      -0.6    0.04   0.35  -1.22  -0.71  -0.57  -0.52   0.08     67   1.03
alpha_r[40]      -1.0    0.55   0.78  -2.47  -1.32  -1.08  -0.74   0.94      2   1.61
alpha_r[41]       1.2    0.56    0.8   0.06   0.65   0.67   2.06   2.51      2   2.22
alpha_r[42]     -0.88    0.08   0.37  -1.45  -1.11  -0.79  -0.77   0.01     19   1.11
alpha_r[43]      1.14    0.52   0.73   0.15   0.56   0.83   1.77   2.58      2   1.84
alpha_r[44]     -0.73    0.48   0.84  -1.87  -1.07  -1.01  -0.44   1.51      3   1.37
alpha_r[45]     -0.56    0.13   0.41  -1.15  -0.78  -0.72  -0.38   0.28     10   1.24
alpha_r[46]     -0.23    0.15   0.27  -0.85  -0.35  -0.17  -0.13   0.29      3   1.36
alpha_r[47]     -0.57    0.82   1.16  -2.61  -0.97  -0.95   0.32   1.82      2   2.65
gamma_r[0]      -0.23    0.08   0.58  -1.27  -0.49  -0.26  -0.18   1.37     53   1.04
gamma_r[1]       0.23    0.41   0.81   -1.8  -0.13   0.58   0.72   1.36      4   1.22
gamma_r[2]      -0.11    0.44   0.63  -0.88  -0.71  -0.18   0.44   1.03      2    1.9
gamma_r[3]      -0.02    0.24   0.59  -1.18   -0.4   0.22   0.32   0.96      6   1.12
gamma_r[4]       -0.3    0.17   0.76  -1.63  -0.67  -0.65   0.21   1.42     20    1.1
gamma_r[5]      -0.63    0.52    0.9  -1.86  -1.37  -0.89   0.07   1.25      3   1.34
gamma_r[6]      -0.21    0.37   0.74  -1.42  -0.48  -0.46   0.25    1.5      4   1.31
gamma_r[7]       0.51    0.48   0.83  -1.26   -0.1   0.52   1.33   1.39      3   1.52
gamma_r[8]       -0.6    0.72   1.26  -1.88  -1.85  -0.84   0.35   1.97      3   1.98
gamma_r[9]      -0.41    0.42   0.74  -1.66  -1.03  -0.21   0.08   1.09      3   1.51
gamma_r[10]     -0.11    0.91   1.28  -1.56  -1.51  -0.13    1.0   2.22      2   1.97
gamma_r[11]     -0.52    0.41   0.82  -2.02  -1.07  -0.32  -0.31   1.44      4   1.23
gamma_r[12]     -0.87    0.45   0.78  -2.07  -1.32  -1.27  -0.29   0.92      3   1.83
gamma_r[13]     -0.37    0.36   0.63  -1.55  -0.76  -0.28  -0.19   1.03      3   1.41
gamma_r[14]     -0.07    0.29   0.72  -1.67  -0.56   0.14   0.41   1.18      6   1.19
gamma_r[15]     -0.13    0.28    0.8  -1.74  -0.73   0.19   0.35   1.33      8   1.28
gamma_r[16]      0.38    0.86   1.22  -1.29  -0.59  -0.15   1.61    2.6      2   1.95
gamma_r[17]     -0.57    0.45   0.91  -2.69   -1.2  -0.27  -0.26   1.31      4   1.18
gamma_r[18]      1.07    0.44   0.99  -1.08    0.3   1.63   1.65    2.6      5   1.65
gamma_r[19]      -0.4     0.3   0.67  -1.44  -0.63  -0.56  -0.24   1.39      5   1.25
gamma_r[20]      0.18    0.08   0.64  -1.22   0.04   0.08    0.5   1.64     68   1.04
gamma_r[21]      0.34    0.33   0.87  -1.09  -0.07  -0.02    0.9   2.39      7   1.44
gamma_r[22]      0.45    0.67   0.94  -1.46-9.4e-3   0.02   1.29   2.16      2   1.73
gamma_r[23]      0.49    0.39   0.67  -0.81  -0.03   0.53   1.01   1.71      3   1.32
gamma_r[24]     -0.35    0.15   0.74   -1.9  -0.57  -0.27  -0.11   1.29     23   1.11
gamma_r[25]     -0.29    0.36    0.8   -1.8  -0.85   0.02   0.06   1.42      5   1.37
gamma_r[26]      0.07    0.62   0.88  -1.35  -0.64  -0.25   0.85   1.53      2    1.7
gamma_r[27]      0.56    0.46   0.91   -1.5  -0.19   0.98   1.23   1.86      4   1.58
gamma_r[28]      0.07    0.38   0.77  -1.47  -0.51   0.38   0.55   1.46      4   1.26
gamma_r[29]     -0.46    0.07   0.64  -1.69  -0.85  -0.41  -0.22   0.86     73   1.03
gamma_r[30]     -0.25    0.16   0.61  -1.49  -0.64  -0.15  -0.09   1.18     15    1.2
gamma_r[31]      0.11    0.39   0.78  -1.48   -0.5   0.33    0.7   1.22      4   1.55
gamma_r[32]     -0.52    0.18   0.82  -1.91  -0.79  -0.75  -0.12   1.44     20   1.14
gamma_r[33]     -0.33    0.79   1.12   -1.6  -1.56  -0.26    0.5   1.85      2   2.08
gamma_r[34]      0.07    0.15   0.62  -1.02  -0.25  -0.21   0.43   1.51     16   1.12
gamma_r[35]      0.03    0.59   0.83  -1.44  -0.67  -0.05   0.96   0.98      2   1.74
gamma_r[36]     -0.15    0.18   0.66   -1.7  -0.49   0.12   0.15   1.17     13   1.06
gamma_r[37]     -0.04    0.87   1.23  -2.61  -0.63  -0.24   0.88   2.32      2   2.38
gamma_r[38]      0.19    0.29   0.88  -1.51  -0.32  -0.14   0.85   1.95      9    1.4
gamma_r[39]     -0.48    0.68   0.96  -1.49  -1.47  -0.48   0.06   1.66      2   1.77
gamma_r[40]      0.17    0.28   0.87  -1.69  -0.31   0.44   0.46    2.1     10   1.36
gamma_r[41]      1.82    0.76   1.07   0.04   0.93   1.74    3.0   3.06      2   2.35
gamma_r[42]     -0.43    0.23    0.6  -1.43  -0.82  -0.65  -0.03   0.97      7    1.2
gamma_r[43]     -1.46    0.09   0.47  -2.53  -1.58  -1.47  -1.31  -0.42     30   1.11
gamma_r[44]     -0.23    0.32   0.71  -1.73  -0.72  -0.06   0.17    1.2      5   1.18
gamma_r[45]     -0.03    0.14   0.69  -1.35  -0.24  -0.18   0.37   1.51     25   1.14
gamma_r[46]     -0.09    0.58   1.01  -1.15   -1.1  -0.27   0.69   2.15      3   1.91
gamma_r[47]      0.35    0.13   0.65  -0.95  -0.01   0.49   0.51   1.74     27   1.13
ev_init_r[0]     0.35    0.59   1.03  -1.77  -0.41   0.46   1.34   1.39      3   1.58
ev_init_r[1]    -0.32    0.24   0.88  -1.64  -0.73  -0.71   0.23   1.59     13   1.39
ev_init_r[2]     0.69     0.8   1.13  -1.51   0.07   0.09   1.62   2.96      2   1.79
ev_init_r[3]    -0.39    0.36   0.82  -1.64  -0.93  -0.73   0.16   1.44      5    1.3
ev_init_r[4]    -0.95    0.77   1.08  -2.92  -1.76  -0.69  -0.67    1.4      2   1.66
ev_init_r[5]    -0.19    0.13   0.84  -1.61  -0.52   -0.5   0.37   1.68     42   1.05
ev_init_r[6]      0.4    0.98   1.39  -2.67  -0.52   0.57   1.81   1.86      2   1.89
ev_init_r[7]    -0.68    0.47   0.82   -1.7  -1.29  -0.92  -0.23    1.4      3   1.36
ev_init_r[8]     0.45    0.75   1.06  -1.46   -0.3  -0.04   1.42   2.28      2   1.84
ev_init_r[9]     0.22    0.35   1.04  -2.43  -0.32   0.82   0.85   1.51      9   1.42
ev_init_r[10]    0.06    0.15   0.71  -1.39  -0.35   0.29   0.33   1.53     22   1.13
ev_init_r[11]    0.09    0.76   1.08  -1.94  -0.92   0.39   1.07   1.53      2   1.59
ev_init_r[12]    0.22    0.69   0.97  -1.62  -0.62   0.32   1.15   1.41      2   1.56
ev_init_r[13]   -0.15    0.19   0.66   -1.6  -0.51-1.3e-3   0.02   1.35     12   1.16
ev_init_r[14]   -0.57    0.48   0.95  -1.83  -1.19  -1.12   0.06   1.63      4   1.26
ev_init_r[15]   -0.94    0.82   1.16  -2.24  -2.21  -0.96-6.3e-3   1.45      2   1.92
